,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,ltl10,i_02ch,ii_la,la_ff_final,iii_gbrt,0.001,1.000,0.200,0.576,0.200,0.702,"{'learning_rate': [0.071], 'max_depth': [8], 'max_features': [65], 'max_leaf_nodes': [38], 'n_estimators': [800]}"
2,ltl10,i_02cn,ii_random,des_random_0,iii_gbrt,0.051,0.975,0.200,0.536,0.200,0.689,"{'learning_rate': [0.075], 'max_depth': [6], 'max_features': [30], 'max_leaf_nodes': [14], 'n_estimators': [540]}"
3,ltl10,i_01cg,ii_random,des_random_0,iii_gbrt,0.001,1.000,0.200,0.508,0.200,0.672,"{'learning_rate': [0.13], 'max_depth': [8], 'max_features': [20], 'max_leaf_nodes': [26], 'n_estimators': [260]}"
4,ltl10,i_01cn,ii_corr,100,iii_gbrt,0.014,0.998,0.200,0.553,0.200,0.652,"{'learning_rate': [0.071], 'max_depth': [6], 'max_features': [35], 'max_leaf_nodes': [20], 'n_estimators': [280]}"
5,ltl10,i_13ch,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.029,0.992,0.200,0.534,0.200,0.620,"{'learning_rate': [0.11], 'max_depth': [8], 'max_features': [35], 'max_leaf_nodes': [32], 'n_estimators': [170]}"
6,ltl10,i_02a,ii_la,la_ff_final,iii_lgbm,0.084,0.932,0.200,0.554,0.200,0.619,"{'learning_rate': [0.1], 'max_depth': [14], 'n_estimators': [230], 'num_leaves': [20]}"
7,ltl10,i_01cp,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.006,1.000,0.200,0.542,0.200,0.619,"{'learning_rate': [0.088], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [46], 'n_estimators': [230]}"
8,ltl10,i_02cp,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.103,0.898,0.200,0.548,0.200,0.609,"{'learning_rate': [0.089], 'max_depth': [12], 'n_estimators': [220], 'num_leaves': [20]}"
9,ltl10,i_01cl,ii_random,des_random_0,iii_gbrt,0.000,1.000,0.200,0.536,0.200,0.608,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [40], 'max_leaf_nodes': [24], 'n_estimators': [2070]}"
10,ltl10,i_01ch,ii_random,des_random_6,iii_gbrt,0.012,0.999,0.200,0.603,0.200,0.598,"{'learning_rate': [0.08], 'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [16], 'n_estimators': [570]}"
11,ltl10,i_02cg,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.024,0.995,0.200,0.463,0.200,0.597,"{'learning_rate': [0.12], 'max_depth': [6], 'max_features': [65], 'max_leaf_nodes': [20], 'n_estimators': [780]}"
12,ltl10,i_11cg,ii_la,la_ff_final,iii_gbrt,0.119,0.863,0.200,0.469,0.200,0.596,"{'learning_rate': [0.099], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [10], 'n_estimators': [230]}"
13,ltl10,i_12ch,ii_random,des_random_4,iii_gbrt,0.072,0.950,0.200,0.560,0.200,0.582,"{'learning_rate': [0.071], 'max_depth': [8], 'max_features': [30], 'max_leaf_nodes': [24], 'n_estimators': [210]}"
14,ltl10,i_02cl,ii_rf,rf_ff_final,iii_lgbm,0.108,0.888,0.200,0.571,0.200,0.582,"{'learning_rate': [0.095], 'max_depth': [14], 'n_estimators': [210], 'num_leaves': [20]}"
15,ltl10,i_12cg,ii_random,des_random_4,iii_gbrt,0.103,0.899,0.200,0.466,0.200,0.576,"{'learning_rate': [0.062], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [20], 'n_estimators': [300]}"
16,ltl10,i_12cl,ii_rf,rf_ff_final,iii_gbrt,0.083,0.934,0.200,0.463,0.200,0.574,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [90], 'max_leaf_nodes': [10], 'n_estimators': [300]}"
17,ltl10,i_13a,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.116,0.870,0.200,0.516,0.200,0.564,"{'learning_rate': [0.11], 'max_depth': [4], 'max_features': [60], 'max_leaf_nodes': [14], 'n_estimators': [110]}"
18,ltl10,i_02s1h,ii_random,des_random_8,iii_gbrt,0.150,0.783,0.200,0.367,0.200,0.563,"{'learning_rate': [0.19], 'max_depth': [6], 'max_features': [55], 'max_leaf_nodes': [14], 'n_estimators': [240]}"
19,ltl10,i_12cn,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.108,0.888,0.200,0.415,0.200,0.561,"{'learning_rate': [0.052], 'max_depth': [8], 'max_features': [25], 'max_leaf_nodes': [18], 'n_estimators': [180]}"
20,ltl10,i_13cl,ii_corr,100,iii_gbrt,0.092,0.918,0.200,0.481,0.200,0.560,"{'learning_rate': [0.095], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [12], 'n_estimators': [210]}"
21,ltl10,i_11ch,ii_corr,60,iii_gbrt,0.097,0.911,0.200,0.498,0.200,0.556,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [18], 'n_estimators': [180]}"
22,ltl10,i_01cd,ii_random,des_random_7,iii_gbrt,0.001,1.000,0.200,0.431,0.200,0.555,"{'learning_rate': [0.077], 'max_depth': [8], 'max_features': [15], 'max_leaf_nodes': [18], 'n_estimators': [740]}"
23,ltl10,i_12cp,ii_rf,rf_ff_final,iii_gbrt,0.103,0.897,0.200,0.416,0.200,0.551,"{'learning_rate': [0.079], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [26], 'n_estimators': [100]}"
24,ltl10,i_02cd,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.104,0.897,0.200,0.437,0.200,0.550,"{'learning_rate': [0.11], 'max_depth': [6], 'n_estimators': [350], 'num_leaves': [20]}"
25,ltl10,i_13cn,ii_random,des_random_9,iii_gbrt,0.108,0.888,0.200,0.411,0.200,0.546,"{'learning_rate': [0.11], 'max_depth': [6], 'max_features': [30], 'max_leaf_nodes': [20], 'n_estimators': [100]}"
26,ltl10,i_01a,ii_random,des_random_9,iii_svm_rbf,0.148,0.790,0.200,0.488,0.200,0.545,{'gamma': [0.014]}
27,ltl10,i_12a,ii_rf,rf_ff_final,iii_gbrt,0.122,0.858,0.200,0.454,0.200,0.544,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [55], 'max_leaf_nodes': [12], 'n_estimators': [110]}"
28,ltl10,i_13cg,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.042,0.983,0.200,0.472,0.200,0.540,"{'learning_rate': [0.097], 'max_depth': [8], 'max_features': [55], 'max_leaf_nodes': [26], 'n_estimators': [290]}"
29,ltl10,i_11cl,ii_rf,rf_ff_final,iii_gbrt,0.136,0.822,0.200,0.395,0.200,0.533,"{'learning_rate': [0.075], 'max_depth': [4], 'max_features': [25], 'max_leaf_nodes': [6], 'n_estimators': [370]}"
30,ltl10,i_13cp,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.101,0.902,0.200,0.468,0.200,0.531,"{'learning_rate': [0.074], 'max_depth': [8], 'max_features': [15], 'max_leaf_nodes': [26], 'n_estimators': [90]}"
31,ltl10,i_11cn,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.163,0.746,0.200,0.397,0.200,0.520,"{'learning_rate': [0.088], 'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [6], 'n_estimators': [190]}"
32,ltl10,i_11a,ii_random,des_random_0,iii_gbrt,0.138,0.818,0.200,0.400,0.200,0.520,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [12], 'n_estimators': [120]}"
33,ltl10,i_02s1l,ii_random,des_random_9,iii_gbrt,0.185,0.673,0.200,0.365,0.200,0.479,"{'learning_rate': [0.18], 'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [14], 'n_estimators': [160]}"
34,ltl10,i_13cd,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.156,0.767,0.200,0.386,0.300,0.461,"{'learning_rate': [0.088], 'max_depth': [4], 'n_estimators': [340], 'num_leaves': [20]}"
35,ltl10,i_12cd,ii_random,des_random_5,iii_lgbm,0.158,0.760,0.300,0.357,0.300,0.450,"{'learning_rate': [0.098], 'max_depth': [6], 'n_estimators': [250], 'num_leaves': [20]}"
36,ltl10,i_13s1h,ii_random,des_random_8,iii_gbrt,0.201,0.613,0.300,0.357,0.300,0.444,"{'learning_rate': [0.094], 'max_depth': [6], 'max_features': [28], 'max_leaf_nodes': [8], 'n_estimators': [80]}"
37,ltl10,i_11cd,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.182,0.684,0.200,0.406,0.300,0.441,"{'learning_rate': [0.13], 'max_depth': [12], 'n_estimators': [90], 'num_leaves': [20]}"
38,ltl10,i_02s3l,ii_random,des_random_3,iii_rf,0.206,0.592,0.200,0.420,0.300,0.441,"{'max_depth': [28], 'max_features': [50], 'max_leaf_nodes': [46], 'n_estimators': [450]}"
39,ltl10,i_13s3l,ii_mlr,mlr_ff_multifinal,iii_rf,0.211,0.573,0.200,0.424,0.300,0.421,"{'max_depth': [10], 'max_features': [35], 'max_leaf_nodes': [34], 'n_estimators': [130]}"
40,ltl10,i_01s3l,ii_corr,50,iii_gbrt,0.189,0.659,0.200,0.379,0.300,0.420,"{'learning_rate': [0.14], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [38], 'n_estimators': [130]}"
41,ltl10,i_12s1h,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.181,0.686,0.300,0.316,0.300,0.416,"{'learning_rate': [0.15], 'max_depth': [12], 'n_estimators': [490], 'num_leaves': [20]}"
42,ltl10,i_02s3g,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.182,0.681,0.200,0.439,0.300,0.415,"{'learning_rate': [0.083], 'max_depth': [4], 'max_features': [56], 'max_leaf_nodes': [14], 'n_estimators': [120]}"
43,ltl10,i_02s3p,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.214,0.558,0.300,0.239,0.300,0.414,"{'learning_rate': [0.15], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [8], 'n_estimators': [150]}"
44,ltl10,i_12s3l,ii_random,des_random_9,iii_lgbm,0.224,0.517,0.200,0.390,0.300,0.411,"{'learning_rate': [0.1], 'max_depth': [10], 'n_estimators': [60], 'num_leaves': [20]}"
45,ltl10,i_02s1p,ii_random,des_random_1,iii_lgbm,0.213,0.566,0.200,0.382,0.300,0.401,"{'learning_rate': [0.054], 'max_depth': [6], 'n_estimators': [210], 'num_leaves': [20]}"
46,ltl10,i_11s3l,ii_random,des_random_3,iii_rf,0.237,0.461,0.200,0.405,0.300,0.398,"{'max_depth': [6], 'max_features': [13], 'max_leaf_nodes': [20], 'n_estimators': [70]}"
47,ltl10,i_13s1p,ii_random,des_random_6,iii_gbrt,0.207,0.588,0.300,0.322,0.300,0.397,"{'learning_rate': [0.093], 'max_depth': [4], 'max_features': [28], 'max_leaf_nodes': [8], 'n_estimators': [130]}"
48,ltl10,i_12s1p,ii_random,des_random_3,iii_lgbm,0.219,0.538,0.300,0.332,0.300,0.389,"{'learning_rate': [0.081], 'max_depth': [10], 'n_estimators': [190], 'num_leaves': [20]}"
49,ltl10,i_02s3d,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.197,0.627,0.300,0.225,0.300,0.381,"{'learning_rate': [0.11], 'max_depth': [6], 'n_estimators': [710], 'num_leaves': [20]}"
50,ltl10,i_01s1p,ii_random,des_random_8,iii_gbrt,0.183,0.677,0.300,0.321,0.300,0.377,"{'learning_rate': [0.11], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [24], 'n_estimators': [170]}"
51,ltl10,i_10cg,ii_mlr,mlr_ff_multifinal,iii_rf,0.213,0.565,0.300,0.334,0.300,0.372,"{'max_depth': [6], 'max_features': [25], 'max_leaf_nodes': [38], 'n_estimators': [1900]}"
52,ltl10,i_11cp,ii_random,des_random_2,iii_svm_rbf,0.191,0.648,0.200,0.439,0.300,0.371,{'gamma': [0.0085]}
53,ltl10,i_11s1p,ii_random,des_random_9,iii_gbrt,0.215,0.556,0.200,0.368,0.300,0.367,"{'learning_rate': [0.21], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [6], 'n_estimators': [100]}"
54,ltl10,i_01s1h,ii_corr,35,iii_svm_rbf,0.217,0.550,0.200,0.367,0.300,0.363,{'gamma': [0.014]}
55,ltl10,i_01s3g,ii_random,des_random_3,iii_gbrt,0.167,0.731,0.200,0.393,0.300,0.361,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [32], 'n_estimators': [120]}"
56,ltl10,i_01s1l,ii_random,des_random_2,iii_lgbm,0.211,0.574,0.300,0.290,0.300,0.361,"{'learning_rate': [0.13], 'max_depth': [12], 'n_estimators': [20], 'num_leaves': [20]}"
57,ltl10,i_11s1l,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.232,0.484,0.200,0.364,0.300,0.361,"{'learning_rate': [0.1], 'max_depth': [4], 'n_estimators': [290], 'num_leaves': [20]}"
58,ltl10,i_12s1l,ii_corr,15,iii_gbrt,0.234,0.476,0.300,0.357,0.300,0.355,"{'learning_rate': [0.082], 'max_depth': [4], 'max_features': [14], 'max_leaf_nodes': [16], 'n_estimators': [50]}"
59,ltl10,i_01s3p,ii_random,des_random_6,iii_gbrt,0.200,0.615,0.300,0.172,0.300,0.355,"{'learning_rate': [0.18], 'max_depth': [8], 'max_features': [18], 'max_leaf_nodes': [12], 'n_estimators': [60]}"
60,ltl10,i_11s1h,ii_random,des_random_7,iii_gbrt,0.224,0.517,0.300,0.321,0.300,0.342,"{'learning_rate': [0.14], 'max_depth': [4], 'max_features': [13], 'max_leaf_nodes': [6], 'n_estimators': [90]}"
